index,drehmoment,drehzahl
0,5,100
1,10,100
2,15,100
3,20,100
4,25,100
5,30,100
6,35,100
7,40,100
8,45,100
9,50,100
10,55,100
11,60,100
12,65,100
13,70,100
14,5,200
15,10,200
16,15,200
17,20,200
18,25,200
19,30,200
20,35,200
21,40,200
22,45,200
23,50,200
24,55,200
25,60,200
26,65,200
27,70,200
28,5,300
29,10,300
30,15,300
31,20,300
32,25,300
33,30,300
34,35,300
35,40,300
36,45,300
37,50,300
38,55,300
39,60,300
40,65,300
41,70,300
42,5,400
43,10,400
44,15,400
45,20,400
46,25,400
47,30,400
48,35,400
49,40,400
50,45,400
51,50,400
52,55,400
53,60,400
54,65,400
55,70,400
56,5,500
57,10,500
58,15,500
59,20,500
60,25,500
61,30,500
62,35,500
63,40,500
64,45,500
65,50,500
66,55,500
67,60,500
68,65,500
69,70,500
70,5,600
71,10,600
72,15,600
73,20,600
74,25,600
75,30,600
76,35,600
77,40,600
78,45,600
79,50,600
80,55,600
81,60,600
82,65,600
83,70,600
84,5,700
85,10,700
86,15,700
87,20,700
88,25,700
89,30,700
90,35,700
91,40,700
92,45,700
93,50,700
94,55,700
95,60,700
96,65,700
97,70,700
98,5,800
99,10,800
100,15,800
101,20,800
102,25,800
103,30,800
104,35,800
105,40,800
106,45,800
107,50,800
108,55,800
109,60,800
110,65,800
111,70,800
112,5,900
113,10,900
114,15,900
115,20,900
116,25,900
117,30,900
118,35,900
119,40,900
120,45,900
121,50,900
122,55,900
123,60,900
124,65,900
125,70,900
126,5,1000
127,10,1000
128,15,1000
129,20,1000
130,25,1000
131,30,1000
132,35,1000
133,40,1000
134,45,1000
135,50,1000
136,55,1000
137,60,1000
138,65,1000
139,70,1000
140,5,1100
141,10,1100
142,15,1100
143,20,1100
144,25,1100
145,30,1100
146,35,1100
147,40,1100
148,45,1100
149,50,1100
150,55,1100
151,60,1100
152,65,1100
153,70,1100
154,5,1200
155,10,1200
156,15,1200
157,20,1200
158,25,1200
159,30,1200
160,35,1200
161,40,1200
162,45,1200
163,50,1200
164,55,1200
165,60,1200
166,65,1200
167,5,1300
168,10,1300
169,15,1300
170,20,1300
171,25,1300
172,30,1300
173,35,1300
174,40,1300
175,45,1300
176,50,1300
177,55,1300
178,60,1300
179,5,1400
180,10,1400
181,15,1400
182,20,1400
183,25,1400
184,30,1400
185,35,1400
186,40,1400
187,45,1400
188,50,1400
189,55,1400
190,5,1500
191,10,1500
192,15,1500
193,20,1500
194,25,1500
195,30,1500
196,35,1500
197,40,1500
198,45,1500
199,50,1500
200,5,1600
201,10,1600
202,15,1600
203,20,1600
204,25,1600
205,30,1600
206,35,1600
207,40,1600
208,45,1600
209,5,1700
210,10,1700
211,15,1700
212,20,1700
213,25,1700
214,30,1700
215,35,1700
216,40,1700
217,5,1800
218,10,1800
219,15,1800
220,20,1800
221,25,1800
222,30,1800
223,35,1800
224,40,1800
225,5,1900
226,10,1900
227,15,1900
228,20,1900
229,25,1900
230,30,1900
231,35,1900
232,5,2000
233,10,2000
234,15,2000
235,20,2000
236,25,2000
237,30,2000
238,35,2000
239,5,2100
240,10,2100
241,15,2100
242,20,2100
243,25,2100
244,30,2100
245,5,2200
246,10,2200
247,15,2200
248,20,2200
249,25,2200
250,30,2200
251,5,2300
252,10,2300
253,15,2300
254,20,2300
255,25,2300
256,5,2400
257,10,2400
258,15,2400
259,20,2400
260,25,2400
261,5,2500
262,10,2500
263,15,2500
264,20,2500
265,25,2500
